,
?
、
。
“
”
《
》
！
，
：
；
？
人民
末##末
啊
啊啊
啊啊啊
阿
哎
哎呀
哎喲
耶
唉
俺
俺們
按
按照
部分
部份
吧
吧噠
把
罷了
被
本
本著
本來
本書
比
比方
比如
鄙人
彼
彼此
邊
別
別的
別說
並
並且
不比
不成
不單
不但
不獨
不管
不光
不過
不僅
不拘
不論
不怕
不然
不如
不特
不惟
不問
不只
不太
朝
朝著
趁
趁著
乘
衝
除
除此之外
除非
除了
此
此間
此外
從
從而
打
待
但
但是
當
當著
到
得
的
的話
等
等等
地
第
叮咚
對
對於
多
多少
而
而況
而且
而是
而外
而言
而已
爾後
反過來
反過來說
反之
非但
非徒
否則
現在
現今
當今
嘎
嘎登
該
趕
個
各
各個
各位
各種
各自
給
給我
給你
給他
給她
根據
跟
故
故此
固然
關於
管
歸
果然
果真
過
哈
哈哈
呵
和
何
何處
何況
何時
嘿
哼
哼唷
呼哧
乎
譁
還給
還是
還有
還不
換句話說
換言之
或
或是
或者
極了
及
及其
及至
即
即便
即或
即令
即若
即使
幾
幾時
己
既
既然
既是
繼而
加之
假如
假若
假使
鑑於
將
較
較之
叫
接著
結果
借
緊接著
進而
盡
儘管
經
經過
就
就是
就是說
據
具體地說
具體說來
開始
開外
靠
咳
可
可見
可是
可以
況且
啦
來
來著
離
例如
哩
連
理
裡
裏
里
連同
兩者
了
臨
另
另外
另一方面
論
嘛
嗎
慢說
漫說
冒
麼
每
每當
們
莫若
某
某個
某些
終於
拿
哪
哪邊
哪兒
哪個
哪裡
哪年
哪怕
哪天
哪些
哪樣
哪種
哪般
哪去
哪是
哪裏
哪本
那本
那般
那
那邊
那兒
那個
那會兒
那裡
那裏
那麼
那麼些
那麼樣
那時
那些
那是
那樣
那種
那堆
多麼
乃
乃至
呢
能
你
你們
您
寧
寧可
寧肯
寧願
哦
嘔
啪達
旁人
呸
憑
憑藉
其
其次
其二
其他
其它
其一
其餘
其中
起
起見
豈但
恰恰相反
前
前後
前者
且
然而
然後
然則
讓
人家
任
任何
任憑
如
如此
如果
如何
如其
如若
如上所述
若
若非
若是
啥
上下
尚且
設若
設使
甚而
甚麼
甚至
省得
時
時候
什麼
什麼樣
樣子
使得
曉得
是
是的
是從
首先
誰
誰知
順
順著
似的
雖
雖然
雖說
雖則
隨
隨著
所
所以
所在
他
他們
他人
它
它們
她
她們
倘
倘或
倘然
倘若
倘使
騰
替
通過
同
同時
哇
萬一
往
望
爲
爲了
爲何
爲什麼
爲著
因爲
為
為何
為了
為什麼
為著
喂
嗡嗡
我
我們
嗚
嗚呼
烏乎
無論
無寧
毋寧
嘻
嚇
相對而言
像
像是
向
向著
噓
呀
焉
沿
沿著
要
要不
要不然
要不是
要麼
要是
也
也罷
也好
也許
迎來
尤其
般的
一
一般
一旦
一方面
一來
一切
一樣
一則
一些
一邊
一顆
一頁
一分
一份
一歲
一部
一陣
歲
應該
應當
依然
依
依照
矣
以
以便
以及
以免
以至
以至於
以致
以上
以下
抑或
因
因此
因而
因為
喲
用
由
由此可見
由於
有
有著
有着
有的
有關
有些
些
些許
又
完
完全
於
於是
於是乎
與
與此同時
與否
與其
越
越是
越來
越來越
云云
哉
